ID,Location,Language,NumberOfSpeakers
8,Colorado,Slovak,312
8,Colorado,Polish,2512
8,Colorado,Bulgarian,519
8,Colorado,Macedonian,121
8,Colorado,Serbocroatian,119
8,Colorado,Bosnian,426
8,Colorado,Croatian,92
8,Colorado,Serbian,187
8,Colorado,Lithuanian,119
8,Colorado,Latvian,364
8,Colorado,Armenian,1899
8,Colorado,Farsi,2256
8,Colorado,Dari,0
8,Colorado,Kurdish,0
8,Colorado,Pashto,110
8,Colorado,India N.E.C.,199
8,Colorado,Hindi,3515
8,Colorado,Urdu,1472
8,Colorado,Bengali,517
8,Colorado,Punjabi,485
8,Colorado,Konkani,0
8,Colorado,Marathi,326
8,Colorado,Gujarati,386
8,Colorado,Nepali,2362
8,Colorado,Pakistan N.E.C.,0
8,Colorado,Sinhala,0
8,Colorado,Other Indo-Iranian languages,0
8,Colorado,Other Indo-European languages,67
8,Colorado,Finnish,238
8,Colorado,Hungarian,585
8,Colorado,Turkish,860
8,Colorado,Mongolian,317
8,Colorado,Telugu,1639
8,Colorado,Kannada,283
8,Colorado,Malayalam,1208
8,Colorado,Tamil,1747
8,Colorado,Khmer,1612
8,Colorado,Vietnamese,7432
8,Colorado,Chinese,7696
8,Colorado,Mandarin,2518
8,Colorado,Min Nan Chinese,0
8,Colorado,Cantonese,1083
8,Colorado,Tibetan,132
8,Colorado,Burmese,152
8,Colorado,Chin languages,61
8,Colorado,Karen languages,379
8,Colorado,Thai,1650
8,Colorado,Lao,971
8,Colorado,Iu Mien,70
8,Colorado,Hmong,972
8,Colorado,Japanese,5193
8,Colorado,Korean,8725
8,Colorado,Malay,163
8,Colorado,Indonesian,973
8,Colorado,Other languages of Asia,320
8,Colorado,Filipino,1033
8,Colorado,Tagalog,3875
8,Colorado,Cebuano,245
8,Colorado,Ilocano,142
8,Colorado,Other Philippine languages,0
8,Colorado,Chamorro,306
8,Colorado,Marshallese,33
8,Colorado,Chuukese,0
8,Colorado,Samoan,622
8,Colorado,Tongan,0
8,Colorado,Hawaiian,0
8,Colorado,Other Eastern Malayo-Polynesian languages,759
8,Colorado,Arabic,5159
8,Colorado,Hebrew,2083
8,Colorado,Assyrian Neo-Aramaic,0
8,Colorado,Chaldean Neo-Aramaic,0
8,Colorado,Amharic,4608
8,Colorado,Tigrinya,412
8,Colorado,Oromo,0
8,Colorado,Somali,1534
8,Colorado,Other Afro-Asiatic languages,185
8,Colorado,Nilo-Saharan languages,0
8,Colorado,Swahili,1480
8,Colorado,Ganda,394
8,Colorado,Shona,0
8,Colorado,Other Bantu languages,422
8,Colorado,Manding languages,97
8,Colorado,Other Mande languages,0
8,Colorado,Fulah,0
8,Colorado,Wolof,0
8,Colorado,Akan (incl. Twi),1717
8,Colorado,Ga,0
8,Colorado,Gbe languages,0
8,Colorado,Yoruba,793
8,Colorado,Edoid languages,0
8,Colorado,Igbo,239
8,Colorado,Other Niger-Congo languages,116
8,Colorado,Other languages of Africa,27
8,Colorado,Aleut languages,0
8,Colorado,Ojibwa,0
8,Colorado,Apache languages,118
8,Colorado,Navajo,911
8,Colorado,Dakota languages,26
8,Colorado,Muskogean languages,0
8,Colorado,Keres,73
8,Colorado,Cherokee,170
8,Colorado,Uto-Aztecan languages,473
8,Colorado,Other Native North American languages,0
8,Colorado,Other Central and South American languages,593
8,Colorado,English only household,1834224
8,Colorado,Other and unspecified languages,426
9,Connecticut,Total Connecticut,1524959
9,Connecticut,N/A (GQ/vacant),147793
9,Connecticut,Jamaican Creole English,1806
9,Connecticut,Other English-based Creole languages,528
9,Connecticut,Haitian,5651
9,Connecticut,Kabuverdianu,0
9,Connecticut,German,5010
9,Connecticut,Swiss German,122
9,Connecticut,Pennsylvania German,0
9,Connecticut,Yiddish,65
9,Connecticut,Dutch,907
9,Connecticut,Afrikaans,569
9,Connecticut,Swedish,664
9,Connecticut,Danish,176
9,Connecticut,Norwegian,496
9,Connecticut,Italian,16977
9,Connecticut,French,13853
9,Connecticut,Cajun French,0
9,Connecticut,Spanish,167894
9,Connecticut,Portuguese,17864
9,Connecticut,Romanian,1446
9,Connecticut,Irish,353
9,Connecticut,Greek,5160
9,Connecticut,Albanian,3007
9,Connecticut,Russian,4251
9,Connecticut,Ukrainian,2066
9,Connecticut,Czech,334
9,Connecticut,Slovak,464
9,Connecticut,Polish,14370
9,Connecticut,Bulgarian,414
9,Connecticut,Macedonian,231
9,Connecticut,Serbocroatian,99
9,Connecticut,Bosnian,762
9,Connecticut,Croatian,439
9,Connecticut,Serbian,134
9,Connecticut,Lithuanian,633
9,Connecticut,Latvian,199
9,Connecticut,Armenian,183
9,Connecticut,Farsi,1395
9,Connecticut,Dari,62
9,Connecticut,Kurdish,0
9,Connecticut,Pashto,329
9,Connecticut,India N.E.C.,738
9,Connecticut,Hindi,4681
9,Connecticut,Urdu,1755
9,Connecticut,Bengali,2616
9,Connecticut,Punjabi,603
9,Connecticut,Konkani,0
9,Connecticut,Marathi,710
9,Connecticut,Gujarati,2064
9,Connecticut,Nepali,288
9,Connecticut,Pakistan N.E.C.,106
9,Connecticut,Sinhala,239
9,Connecticut,Other Indo-Iranian languages,0
9,Connecticut,Other Indo-European languages,84
9,Connecticut,Finnish,174
9,Connecticut,Hungarian,1803
9,Connecticut,Turkish,1135
9,Connecticut,Mongolian,55
9,Connecticut,Telugu,2505
9,Connecticut,Kannada,398
9,Connecticut,Malayalam,1172
9,Connecticut,Tamil,3157
9,Connecticut,Khmer,985
9,Connecticut,Vietnamese,2340
9,Connecticut,Chinese,8177
9,Connecticut,Mandarin,3127
9,Connecticut,Min Nan Chinese,659
9,Connecticut,Cantonese,953
9,Connecticut,Tibetan,900
9,Connecticut,Burmese,117
9,Connecticut,Chin languages,0
9,Connecticut,Karen languages,0
9,Connecticut,Thai,851
9,Connecticut,Lao,588
9,Connecticut,Iu Mien,0
9,Connecticut,Hmong,0
9,Connecticut,Japanese,1662
9,Connecticut,Korean,2350
9,Connecticut,Malay,0
9,Connecticut,Indonesian,305
9,Connecticut,Other languages of Asia,172
9,Connecticut,Filipino,1435
9,Connecticut,Tagalog,2095
9,Connecticut,Cebuano,203
9,Connecticut,Ilocano,0
9,Connecticut,Other Philippine languages,0
9,Connecticut,Chamorro,0
9,Connecticut,Marshallese,0
9,Connecticut,Chuukese,0
9,Connecticut,Samoan,79
9,Connecticut,Tongan,0
9,Connecticut,Hawaiian,0
9,Connecticut,Other Eastern Malayo-Polynesian languages,0
9,Connecticut,Arabic,4684
9,Connecticut,Hebrew,800
