GEOID	County	Population5YearsAndOver	SpeakALanguageOtherThanEnglish	Spanish	IndoEuropean	AsianPacificIsland	Other
US31149	"Rock County, Nebraska"	1311	25	21	4	0	0
US31151	"Saline County, Nebraska"	13349	3043	2552	85	192	214
US31153	"Sarpy County, Nebraska"	167929	14005	8319	2195	2786	705
US31155	"Saunders County, Nebraska"	19865	463	200	207	51	5
US31157	"Scotts Bluff County, Nebraska"	33671	4017	3554	291	122	50
US31159	"Seward County, Nebraska"	16159	532	317	162	23	30
US31161	"Sheridan County, Nebraska"	4968	219	151	42	3	23
US31163	"Sherman County, Nebraska"	2882	94	68	22	4	0
US31165	"Sioux County, Nebraska"	1098	31	28	3	0	0
US31167	"Stanton County, Nebraska"	5578	297	238	19	13	27
US31169	"Thayer County, Nebraska"	4751	127	84	39	0	4
US31171	"Thomas County, Nebraska"	610	13	8	0	5	0
US31173	"Thurston County, Nebraska"	6482	243	66	2	32	143
US31175	"Valley County, Nebraska"	3956	92	39	37	0	16
US31177	"Washington County, Nebraska"	19155	463	317	107	39	0
US31179	"Wayne County, Nebraska"	8855	569	401	141	22	5
US31181	"Webster County, Nebraska"	3340	76	49	13	13	1
US31183	"Wheeler County, Nebraska"	717	13	12	0	1	0
US31185	"York County, Nebraska"	12888	683	449	162	23	49
US32001	"Churchill County, Nevada"	22582	3345	2567	196	456	126
US32003	"Clark County, Nevada"	2043921	697502	477089	54007	142318	24088
US32005	"Douglas County, Nevada"	46457	4990	3596	858	317	219
US32007	"Elko County, Nevada"	48532	8713	7580	436	399	298
US32009	"Esmeralda County, Nevada"	941	139	139	0	0	0
US32011	"Eureka County, Nevada"	1753	78	12	0	13	53
US32013	"Humboldt County, Nevada"	15585	3287	2828	115	117	227
US32015	"Lander County, Nevada"	5333	1341	1133	159	6	43
US32017	"Lincoln County, Nevada"	4986	265	197	21	38	9
US32019	"Lyon County, Nevada"	51409	7345	5880	656	575	234
US32021	"Mineral County, Nevada"	4273	510	264	22	57	167
US32023	"Nye County, Nevada"	42360	4755	3707	368	571	109
US32027	"Pershing County, Nevada"	6276	1219	1032	74	55	58
US32029	"Storey County, Nevada"	3775	223	21	171	12	19
US32031	"Washoe County, Nevada"	429697	101924	75731	9801	14103	2289
US32033	"White Pine County, Nevada"	9166	845	680	110	36	19
US32510	"Carson City, Nevada"	51802	11696	9258	1116	997	325
US33001	"Belknap County, New Hampshire"	58219	1945	309	1164	302	170
US33003	"Carroll County, New Hampshire"	46241	1163	328	512	208	115
US33005	"Cheshire County, New Hampshire"	72584	2092	366	1002	648	76
US33007	"Coos County, New Hampshire"	30472	3211	616	2424	114	57
US33009	"Grafton County, New Hampshire"	86065	6018	851	2813	2022	332
US33011	"Hillsborough County, New Hampshire"	391369	52068	18733	20416	8822	4097
US33013	"Merrimack County, New Hampshire"	142783	8550	1707	4497	1425	921
US33015	"Rockingham County, New Hampshire"	292402	18274	5695	8070	3677	832
US33017	"Strafford County, New Hampshire"	123040	8369	1502	2973	3199	695
US33019	"Sullivan County, New Hampshire"	41106	1557	185	634	387	351
US34001	"Atlantic County, New Jersey"	251264	67934	40043	16277	10254	1360
US34003	"Bergen County, New Jersey"	881087	352404	136685	94842	99774	21103
US34005	"Burlington County, New Jersey"	422630	55408	19558	19449	11370	5031
US34007	"Camden County, New Jersey"	475766	97613	60036	17799	16009	3769
US34009	"Cape May County, New Jersey"	88836	7574	4728	1944	546	356
US34011	"Cumberland County, New Jersey"	142241	39573	35027	2976	923	647
US34013	"Essex County, New Jersey"	742689	266778	145403	78184	21291	21900
US34015	"Gloucester County, New Jersey"	275792	24819	10270	7590	4827	2132
US34017	"Hudson County, New Jersey"	623083	367765	237642	66444	44244	19435
US34019	"Hunterdon County, New Jersey"	119747	13405	5182	5248	2077	898
US34021	"Mercer County, New Jersey"	347046	105900	50826	30930	18996	5148
US34023	"Middlesex County, New Jersey"	777852	346386	132927	121987	70787	20685
US34025	"Monmouth County, New Jersey"	590842	105724	43440	39215	16550	6519
US34027	"Morris County, New Jersey"	468719	114333	50130	36949	23577	3677
US34029	"Ocean County, New Jersey"	554417	67063	32446	22696	5910	6011
US34031	"Passaic County, New Jersey"	469414	228854	168372	36308	10677	13497
US34033	"Salem County, New Jersey"	59549	4721	3534	841	248	98
US34035	"Somerset County, New Jersey"	312820	98227	35792	30957	26707	4771
US34037	"Sussex County, New Jersey"	135165	12863	6118	4459	1575	711
US34039	"Union County, New Jersey"	518935	228344	148085	57728	14224	8307
US34041	"Warren County, New Jersey"	101085	12082	5712	4113	1395	862
US35001	"Bernalillo County, New Mexico"	639133	186490	149370	10028	11789	15303
US35003	"Catron County, New Mexico"	3424	517	443	74	0	0
US35005	"Chaves County, New Mexico"	60725	20740	19735	290	418	297
US35006	"Cibola County, New Mexico"	25115	9958	4554	132	224	5048
US35007	"Colfax County, New Mexico"	11579	2778	2586	72	74	46
US35009	"Curry County, New Mexico"	45645	12637	11894	197	426	120
US35011	"De Baca County, New Mexico"	1906	514	464	45	0	5
US35013	"Doña Ana County, New Mexico"	202056	103605	99205	1353	1412	1635
US35015	"Eddy County, New Mexico"	53497	10618	10228	81	131	178
US35017	"Grant County, New Mexico"	26190	7773	7255	216	62	240
US35019	"Guadalupe County, New Mexico"	4067	1957	1752	5	0	200
US35021	"Harding County, New Mexico"	423	139	136	0	3	0
US35023	"Hidalgo County, New Mexico"	4032	1554	1531	12	4	7
US35025	"Lea County, New Mexico"	64755	24193	23525	347	136	185
US35027	"Lincoln County, New Mexico"	18547	3894	3785	30	42	37
US35028	"Los Alamos County, New Mexico"	17612	2521	1193	483	756	89
US35029	"Luna County, New Mexico"	22294	11072	10813	27	120	112
US35031	"McKinley County, New Mexico"	67042	35792	3348	107	513	31824
US35033	"Mora County, New Mexico"	4417	2972	2906	37	0	29
US35035	"Otero County, New Mexico"	61661	16578	13863	1140	610	965
US35037	"Quay County, New Mexico"	7838	1702	1593	44	21	44
US35039	"Rio Arriba County, New Mexico"	36602	21846	17598	294	208	3746
US35041	"Roosevelt County, New Mexico"	17560	5010	4666	248	52	44
US35043	"Sandoval County, New Mexico"	134889	35713	21658	1171	989	11895
US35045	"San Juan County, New Mexico"	117880	37718	11386	512	456	25364
US35047	"San Miguel County, New Mexico"	26376	14160	13429	269	212	250
US35049	"Santa Fe County, New Mexico"	142790	48368	42748	2605	919	2096
US35051	"Sierra County, New Mexico"	10534	2153	1986	74	79	14
US35053	"Socorro County, New Mexico"	16057	6285	4167	365	396	1357
US35055	"Taos County, New Mexico"	31323	14226	12191	314	240	1481
US35057	"Torrance County, New Mexico"	14726	3185	2981	117	62	25
US35059	"Union County, New Mexico"	3907	774	704	39	1	30
US35061	"Valencia County, New Mexico"	71702	21913	19946	338	191	1438
US36001	"Albany County, New York"	291388	38430	9426	15086	10753	3165
US36003	"Allegany County, New York"	44280	2163	433	1287	374	69
US36005	"Bronx County, New York"	1330182	788678	635334	71913	19292	62139
US36007	"Broome County, New York"	183082	17209	4334	7034	4712	1129
US36009	"Cattaraugus County, New York"	72722	3405	837	1943	228	397
US36011	"Cayuga County, New York"	73535	3365	1538	1146	238	443
US36013	"Chautauqua County, New York"	121493	9542	5583	3243	523	193
US36015	"Chemung County, New York"	79957	3479	1330	1310	705	134
US36017	"Chenango County, New York"	45353	1599	784	595	158	62
US36019	"Clinton County, New York"	76665	4328	1538	1990	504	296
US36021	"Columbia County, New York"	57814	4108	1560	2066	346	136
US36023	"Cortland County, New York"	45489	1500	326	859	242	73
US36025	"Delaware County, New York"	43243	2854	1285	1215	211	143
US36027	"Dutchess County, New York"	280217	43612	22246	11815	6135	3416
US36029	"Erie County, New York"	869005	93274	31317	31257	15894	14806
US36031	"Essex County, New York"	35981	2194	964	1044	64	122
US36033	"Franklin County, New York"	47992	4020	1187	1550	134	1149
US36035	"Fulton County, New York"	50936	1479	553	614	223	89
US36037	"Genesee County, New York"	54841	2030	1195	624	162	49
US36039	"Greene County, New York"	45405	3561	1603	1685	207	66
US36041	"Hamilton County, New York"	4370	191	57	128	2	4
US36043	"Herkimer County, New York"	58892	3111	548	2163	302	98
US36045	"Jefferson County, New York"	103924	8650	4424	2505	1150	571
US36047	"Kings County, New York"	2399015	1078921	372207	419096	208930	78688
US36049	"Lewis County, New York"	24884	715	276	373	29	37
US36051	"Livingston County, New York"	60852	4214	1618	1068	457	1071
US36053	"Madison County, New York"	67844	2884	706	1377	487	314
US36055	"Monroe County, New York"	702055	98115	42516	30897	16251	8451
US36057	"Montgomery County, New York"	46195	6852	4528	1976	197	151
US36059	"Nassau County, New York"	1282281	368439	166237	124205	61935	16062
US36061	"New York County, New York"	1553220	611624	333730	121591	126399	29904
US36063	"Niagara County, New York"	199721	8606	2927	3979	1087	613
US36065	"Oneida County, New York"	216943	26460	7996	9250	7263	1951
US36067	"Onondaga County, New York"	436505	48085	14169	15926	10526	7464
US36069	"Ontario County, New York"	104075	6364	2937	2067	985	375
US36071	"Orange County, New York"	354932	87248	47342	31709	5276	2921
US36073	"Orleans County, New York"	38841	2373	1329	731	145	168
US36075	"Oswego County, New York"	111875	4478	1694	1913	610	261
US36077	"Otsego County, New York"	57433	3554	1310	1543	454	247
US36079	"Putnam County, New York"	94394	17280	9154	6394	1130	602
US36081	"Queens County, New York"	2144309	1194002	504898	332694	319920	36490
US36083	"Rensselaer County, New York"	150899	11736	3947	3890	2861	1038
US36085	"Richmond County, New York"	447619	146040	48594	54799	27883	14764
US36087	"Rockland County, New York"	298769	118110	40699	61079	11370	4962
US36089	"St. Lawrence County, New York"	103242	7370	1671	4311	767	621
US36091	"Saratoga County, New York"	216798	13832	3385	6019	3611	817
US36093	"Schenectady County, New York"	145804	14085	5027	6110	2197	751
US36095	"Schoharie County, New York"	29906	1420	481	688	155	96
US36097	"Schuyler County, New York"	17021	569	145	331	93	0
US36099	"Seneca County, New York"	32549	2361	730	1380	217	34
US36101	"Steuben County, New York"	91088	4633	915	2674	872	172
US36103	"Suffolk County, New York"	1404033	318666	201049	78795	29806	9016
US36105	"Sullivan County, New York"	70859	11130	6570	3896	351	313
US36107	"Tioga County, New York"	46212	1158	514	395	231	18
US36109	"Tompkins County, New York"	98521	14820	2659	4436	7022	703
US36111	"Ulster County, New York"	170809	18892	10049	5989	1985	869
US36113	"Warren County, New York"	61495	3153	840	1832	410	71
US36115	"Washington County, New York"	58720	3033	1237	1465	269	62
US36117	"Wayne County, New York"	85555	4418	2241	1617	504	56
US36119	"Westchester County, New York"	914339	306601	182860	74687	33516	15538
US36121	"Wyoming County, New York"	38225	1568	1024	375	105	64
US36123	"Yates County, New York"	23515	3575	312	3169	94	0
US37001	"Alamance County, North Carolina"	153816	19331	16060	1474	1393	404
US37003	"Alexander County, North Carolina"	35344	2122	1559	333	214	16
US37005	"Alleghany County, North Carolina"	10552	804	773	10	21	0
US37007	"Anson County, North Carolina"	23730	1249	913	73	255	8
US37009	"Ashe County, North Carolina"	25721	1374	1137	73	146	18
US37011	"Avery County, North Carolina"	16916	1059	818	176	28	37
US37013	"Beaufort County, North Carolina"	44830	2873	2601	196	43	33
US37015	"Bertie County, North Carolina"	18555	645	444	69	124	8
US37017	"Bladen County, North Carolina"	31647	2561	2223	295	33	10
US37019	"Brunswick County, North Carolina"	126530	6404	4491	1387	377	149
